"source","target","sign","weight","inertia","target_class","causal_mechanism","evidence_source","evidence_strength","bidirectional_pair_id","status","review_notes"
"poverty_headcount_ratio","infant_mortality_rate","positive","0.15","9","slow","Poverty worsens prenatal and infant health outcomes","UNICEF poverty-health evidence","high","","approved","batch4_distribution_unblock"
"public_expenditure_on_health","life_expectancy_at_birth","positive","0.18","9","slow","Health investment supports longer average lifespan","WHO expenditure-outcomes evidence","high","","approved","batch2_activate_dormant"
"air_pollution_pm25","life_expectancy_at_birth","negative","-0.16","9","slow","Particulate pollution reduces long-run life expectancy","WHO air quality burden evidence","high","","approved","batch6_full_closeout"
"infant_mortality_rate","life_expectancy_at_birth","negative","-0.12","10","slow","Higher infant mortality mechanically lowers average lifespan","Demographic identity logic","high","","approved","batch6_full_closeout"
"poverty_headcount_ratio","intentional_homicide_rate","positive","0.14","8","slow","Material deprivation increases violent crime risk in many settings","UNODC social determinants evidence","medium","","approved","batch6_full_closeout"
"unemployment_rate","intentional_homicide_rate","positive","0.10","8","slow","Persistent unemployment can increase serious crime pressures","OECD crime-labor evidence","medium","","approved","batch6_full_closeout"
"incarceration_rate","intentional_homicide_rate","negative","-0.08","8","slow","Deterrence and incapacitation can reduce severe violence","Criminology deterrence literature","low","","approved","batch6_full_closeout"
"public_expenditure_on_education","adult_literacy_rate","positive","0.16","9","slow","Sustained education spending improves literacy outcomes","UNESCO education finance evidence","high","","approved","batch5_education_humancapital"
"tertiary_education_attainment","adult_literacy_rate","positive","0.10","9","slow","Higher attainment ecosystems correlate with stronger foundational skills","OECD education system evidence","medium","","approved","batch5_education_humancapital"
"poverty_headcount_ratio","adult_literacy_rate","negative","-0.10","9","slow","Poverty limits learning access and retention","UNESCO equity evidence","medium","","approved","batch5_education_humancapital"
"renewable_energy_consumption","co2_emissions_per_capita","negative","-0.24","6","medium","Clean energy substitution lowers per-capita emissions","IEA energy mix emissions evidence","high","","approved","batch2_activate_dormant"
"gdp","co2_emissions_per_capita","positive","0.16","5","medium","Higher activity can raise emissions absent decoupling","World Bank growth-emissions relationship","medium","","approved","batch6_full_closeout"
"air_pollution_pm25","co2_emissions_per_capita","positive","0.08","6","medium","Fossil combustion jointly raises air pollutants and carbon output","EEA emissions source overlap","medium","","approved","batch6_full_closeout"
"unemployment_rate","labor_force_participation_rate","negative","-0.18","5","medium","Weak labor markets discourage participation","OECD labor participation evidence","high","","approved","batch1_labor_prices"
"nominal_minimum_wage","labor_force_participation_rate","positive","0.08","5","medium","Higher wage floor can increase participation incentives","Labor supply elasticity literature","medium","","approved","batch1_labor_prices"
"net_migration_rate","labor_force_participation_rate","positive","0.10","5","medium","In-migration can expand active labor force","Eurostat migration-labor evidence","medium","","approved","batch5_education_humancapital"
"gdp","tax_revenue","positive","0.22","5","medium","Expansion raises tax base and receipts","National accounts identity logic","high","","approved","batch4_distribution_unblock"
"unemployment_rate","tax_revenue","negative","-0.18","5","medium","Higher unemployment compresses taxable labor income","OECD labor-tax base evidence","high","","approved","batch1_labor_prices"
"inflation_consumer_prices","tax_revenue","positive","0.06","5","medium","Nominal price growth can temporarily lift nominal tax intake","Fiscal drag literature","low","","approved","batch1_labor_prices"
"nominal_minimum_wage","total_fertility_rate","positive","0.09","9","slow","Improved household income can support childbearing decisions","Demographic economics evidence","medium","","approved","batch3_poverty_inequality"
"home_ownership_rate","total_fertility_rate","positive","0.08","9","slow","Housing security can increase fertility intentions","European fertility-housing studies","medium","","approved","batch4_distribution_unblock"
"unemployment_rate","total_fertility_rate","negative","-0.12","9","slow","Labor insecurity delays family formation","OECD fertility labor evidence","high","","approved","batch3_poverty_inequality"
"central_bank_policy_rate","renewable_energy_consumption","negative","-0.10","5","medium","Higher financing costs can slow green investment","IEA investment sensitivity evidence","medium","","approved","batch6_full_closeout"
"gdp","renewable_energy_consumption","positive","0.08","5","medium","Greater fiscal and private capacity supports clean rollout","Energy transition finance evidence","low","","approved","batch6_full_closeout"
"co2_emissions_per_capita","renewable_energy_consumption","negative","-0.12","6","medium","Higher fossil intensity implies lower renewable share","Energy balance identity logic","medium","","approved","batch6_full_closeout"
"unemployment_rate","poverty_headcount_ratio","positive","0.24","9","slow","Joblessness is a core poverty driver","World Bank poverty labor evidence","high","","approved","batch3_poverty_inequality"
"gini_coefficient","poverty_headcount_ratio","positive","0.18","9","slow","Higher inequality raises poverty risk at fixed mean income","Distributional poverty arithmetic","high","","approved","batch3_poverty_inequality"
"average_annual_real_wages","poverty_headcount_ratio","negative","-0.16","9","slow","Real wage growth reduces poverty incidence","ILO wage-poverty evidence","high","","approved","batch3_poverty_inequality"
"central_bank_policy_rate","foreign_direct_investment_net","negative","-0.10","5","medium","Higher rates can reduce investment attractiveness at margin","FDI financing cost evidence","medium","","approved","batch6_full_closeout"
"inflation_consumer_prices","foreign_direct_investment_net","negative","-0.12","5","medium","Price instability discourages foreign capital inflows","Investment climate literature","high","","approved","batch6_full_closeout"
"gdp","foreign_direct_investment_net","positive","0.10","5","medium","Larger markets attract more foreign direct investment","UNCTAD market-size effect","high","","approved","batch6_full_closeout"
"public_expenditure_on_health","maternal_mortality_ratio","negative","-0.18","9","slow","Better funded maternal services reduce fatal complications","WHO maternal health evidence","high","","approved","batch6_full_closeout"
"physicians_per_1000_people","maternal_mortality_ratio","negative","-0.12","9","slow","Clinical capacity improves obstetric outcomes","WHO workforce evidence","high","","approved","batch6_full_closeout"
"poverty_headcount_ratio","maternal_mortality_ratio","positive","0.10","9","slow","Poverty worsens maternal risk factors and access","UN maternal health inequity evidence","medium","","approved","batch6_full_closeout"
"net_migration_rate","population_density","positive","0.14","9","slow","Net inflows increase resident concentration over time","INE demographic accounting","high","","approved","batch6_full_closeout"
"urban_population","population_density","positive","0.10","9","slow","Urban concentration raises effective density","Urbanization statistics logic","medium","","approved","batch6_full_closeout"
"life_expectancy_at_birth","population_density","positive","0.06","10","slow","Longer lives can slowly raise resident stock density","Demographic stock-flow logic","low","","approved","batch6_full_closeout"
"fixed_broadband_subscriptions","individuals_using_internet","positive","0.20","5","medium","Connectivity infrastructure increases internet adoption","ITU digital access evidence","high","","approved","batch2_activate_dormant"
"average_annual_real_wages","individuals_using_internet","positive","0.10","5","medium","Higher real income supports device and service uptake","Digital divide income evidence","medium","","approved","batch6_full_closeout"
"tertiary_education_attainment","individuals_using_internet","positive","0.10","5","medium","Education level increases digital usage rates","OECD digital skills evidence","high","","approved","batch6_full_closeout"
"gdp","access_to_electricity","positive","0.06","10","slow","Economic capacity sustains grid reliability and coverage","World Bank infrastructure evidence","medium","","approved","batch6_full_closeout"
"population_density","access_to_electricity","negative","-0.04","10","slow","Remote low-density tails make universal coverage harder","Utility access economics evidence","low","","approved","batch6_full_closeout"
"public_expenditure_on_health","access_to_electricity","positive","0.03","10","slow","Public infrastructure capacity correlates with service access quality","Public investment linkage evidence","low","","approved","batch6_full_closeout"
"public_expenditure_on_education","mean_years_of_schooling","positive","0.14","9","slow","Education spending improves completed schooling over time","UNESCO attainment evidence","high","","approved","batch5_education_humancapital"
"tertiary_education_attainment","mean_years_of_schooling","positive","0.10","9","slow","Higher tertiary completion raises cohort average schooling years","OECD attainment evidence","high","","approved","batch5_education_humancapital"
"poverty_headcount_ratio","mean_years_of_schooling","negative","-0.08","9","slow","Poverty drives early dropout risk","Education inequality evidence","medium","","approved","batch4_distribution_unblock"
"net_migration_rate","urban_population","positive","0.12","9","slow","Migrants disproportionately settle in cities","Urban migration evidence","high","","approved","batch6_full_closeout"
"home_ownership_rate","urban_population","negative","-0.06","9","slow","Higher ownership in peripheral areas can reduce urban share growth","Housing geography evidence","low","","approved","batch6_full_closeout"
"labor_force_participation_rate","urban_population","positive","0.05","9","slow","Employment concentration in cities increases urban share over time","Labor geography evidence","low","","approved","batch6_full_closeout"
"total_fertility_rate","median_age","negative","-0.16","10","slow","Higher fertility lowers long-run median age structure","Demographic identity logic","high","","approved","batch3_poverty_inequality"
"life_expectancy_at_birth","median_age","positive","0.14","10","slow","Longer survival raises median age","Population age structure evidence","high","","approved","batch3_poverty_inequality"
"net_migration_rate","median_age","negative","-0.08","9","slow","Working-age immigration reduces population median age","INE migration age-profile evidence","medium","","approved","batch4_distribution_unblock"
"unemployment_rate","net_migration_rate","negative","-0.18","5","medium","Weak labor demand reduces inward migration attractiveness","Migration pull-factor literature","high","","approved","batch3_poverty_inequality"
"average_annual_real_wages","net_migration_rate","positive","0.14","5","medium","Higher real wages attract migrants","OECD migration wage evidence","high","","approved","batch3_poverty_inequality"
"home_ownership_rate","net_migration_rate","negative","-0.06","6","medium","Housing access constraints can deter settlement inflows","Housing affordability migration evidence","medium","","approved","batch4_distribution_unblock"
"unemployment_rate","suicide_mortality_rate","positive","0.10","9","slow","Labor stress contributes to suicide risk","WHO social determinants evidence","medium","","approved","batch6_full_closeout"
"inflation_consumer_prices","suicide_mortality_rate","positive","0.06","9","slow","Cost-of-living stress can worsen mental health outcomes","Public health economic stress evidence","low","","approved","batch6_full_closeout"
"physicians_per_1000_people","suicide_mortality_rate","negative","-0.08","9","slow","Mental health service capacity can reduce mortality","WHO service access evidence","medium","","approved","batch6_full_closeout"
"public_expenditure_on_health","physicians_per_1000_people","positive","0.12","9","slow","Health funding supports hiring and retention of doctors","OECD workforce finance evidence","high","","approved","batch6_full_closeout"
"average_annual_real_wages","physicians_per_1000_people","positive","0.08","9","slow","Higher real compensation improves physician supply","Health labor market evidence","medium","","approved","batch6_full_closeout"
"net_migration_rate","physicians_per_1000_people","positive","0.04","9","slow","Immigration can augment healthcare workforce","OECD foreign-trained physician evidence","low","","approved","batch6_full_closeout"
"average_annual_real_wages","mobile_cellular_subscriptions","positive","0.10","5","medium","Higher income supports multiple subscriptions and device access","ITU affordability evidence","medium","","approved","batch6_full_closeout"
"individuals_using_internet","mobile_cellular_subscriptions","positive","0.12","5","medium","Digital use growth increases mobile data demand","ITU usage trends","high","","approved","batch6_full_closeout"
"urban_population","mobile_cellular_subscriptions","positive","0.06","6","medium","Urbanization increases network penetration efficiency","Telecom deployment evidence","medium","","approved","batch6_full_closeout"
"urban_population","arable_land","negative","-0.10","10","slow","Urban expansion can reduce cultivable land share","Land-use change evidence","medium","","approved","batch6_full_closeout"
"forest_area","arable_land","negative","-0.08","10","slow","Forest expansion can compete with cultivated area share","Land competition accounting","medium","","approved","batch6_full_closeout"
"co2_emissions_per_capita","arable_land","negative","-0.04","10","slow","Climate stress can degrade productive arable area over time","IPCC land impact evidence","low","","approved","batch6_full_closeout"
"urban_population","forest_area","negative","-0.10","10","slow","Urban sprawl pressures forest coverage","Land-use change evidence","medium","","approved","batch6_full_closeout"
"renewable_energy_consumption","forest_area","positive","0.05","10","slow","Cleaner energy transition can reduce deforestation pressure","Energy-land interaction evidence","low","","approved","batch6_full_closeout"
"air_pollution_pm25","forest_area","negative","-0.04","10","slow","Pollution stress can degrade forest health over long horizons","Environmental health evidence","low","","approved","batch6_full_closeout"
"inflation_consumer_prices","central_bank_policy_rate","positive","0.26","2","fast","Policy rate reacts to inflation deviations","Taylor-rule style policy behavior","high","","approved","batch6_full_closeout"
"gdp","central_bank_policy_rate","positive","0.08","3","fast","Strong activity can support tighter policy stance","Monetary policy reaction function evidence","medium","","approved","batch6_full_closeout"
"foreign_direct_investment_net","central_bank_policy_rate","negative","-0.04","3","fast","Weak external financing can bias policy toward accommodation","Macro-financial policy logic","low","","approved","batch6_full_closeout"
"unemployment_rate","trade_union_density_rate","negative","-0.10","10","slow","Persistent unemployment weakens union bargaining power","OECD union dynamics evidence","medium","","approved","batch6_full_closeout"
"gini_coefficient","trade_union_density_rate","positive","0.06","10","slow","Higher inequality can increase demand for collective bargaining","Labor politics evidence","low","","approved","batch6_full_closeout"
"nominal_minimum_wage","trade_union_density_rate","positive","0.04","10","slow","Institutional wage setting can support union relevance","Industrial relations evidence","low","","approved","batch6_full_closeout"
"tertiary_education_attainment","average_annual_real_wages","positive","0.20","5","medium","Human capital raises average productivity and wages","OECD wage-skill premium evidence","high","","approved","batch3_poverty_inequality"
"unemployment_rate","average_annual_real_wages","negative","-0.16","5","medium","Labor slack depresses real wage growth","Phillips curve wage literature","high","","approved","batch3_poverty_inequality"
"inflation_consumer_prices","average_annual_real_wages","negative","-0.12","4","medium","Higher inflation erodes real earnings if wages lag","Real wage accounting identity","high","","approved","batch3_poverty_inequality"
"intentional_homicide_rate","incarceration_rate","positive","0.12","5","medium","Higher serious crime can increase incarceration flows","Criminal justice flow evidence","high","","approved","batch6_full_closeout"
"poverty_headcount_ratio","incarceration_rate","positive","0.08","5","medium","Social deprivation correlates with incarceration risk","Criminology social determinants evidence","medium","","approved","batch4_distribution_unblock"
"unemployment_rate","incarceration_rate","positive","0.06","5","medium","Labor exclusion raises justice-system contact risk","Labor-crime empirical evidence","low","","approved","batch6_full_closeout"
"urban_population","road_traffic_mortality_rate","negative","-0.06","9","slow","Urban lower speeds can reduce fatal crash severity","Road safety evidence","medium","","approved","batch6_full_closeout"
"air_pollution_pm25","road_traffic_mortality_rate","positive","0.05","9","slow","Heavier traffic environment can proxy crash exposure","Road exposure proxy logic","low","","approved","batch6_full_closeout"
"gdp","road_traffic_mortality_rate","negative","-0.06","9","slow","Higher income supports safer vehicles and infrastructure","World Bank road safety evidence","medium","","approved","batch6_full_closeout"
"nominal_minimum_wage","home_ownership_rate","positive","0.12","9","slow","Higher earnings improve mortgage affordability over time","Housing affordability evidence","high","","approved","batch6_full_closeout"
"central_bank_policy_rate","home_ownership_rate","negative","-0.14","8","slow","Higher rates reduce mortgage affordability and ownership flow","Housing finance evidence","high","","approved","batch6_full_closeout"
"inflation_consumer_prices","home_ownership_rate","negative","-0.08","8","slow","High prices and rates jointly squeeze housing access","Housing cost dynamics evidence","medium","","approved","batch6_full_closeout"
"public_expenditure_on_education","tertiary_education_attainment","positive","0.18","6","medium","Education investment supports tertiary completion","OECD education finance evidence","high","","approved","batch2_activate_dormant"
"adult_literacy_rate","tertiary_education_attainment","positive","0.10","6","medium","Stronger foundational skills improve higher-education progression","Education pipeline evidence","high","","approved","batch2_activate_dormant"
"poverty_headcount_ratio","tertiary_education_attainment","negative","-0.12","6","medium","Poverty reduces tertiary access and completion","Equity in education evidence","high","","approved","batch2_activate_dormant"
"average_annual_real_wages","adult_obesity_rate","negative","-0.06","9","slow","Higher purchasing power can improve diet quality access","Nutrition socioeconomic evidence","low","","approved","batch6_full_closeout"
"urban_population","adult_obesity_rate","positive","0.06","9","slow","Urban sedentary lifestyles can increase obesity prevalence","Public health urbanization evidence","medium","","approved","batch6_full_closeout"
"public_expenditure_on_health","adult_obesity_rate","negative","-0.08","9","slow","Prevention and primary care can lower obesity growth","WHO NCD prevention evidence","medium","","approved","batch6_full_closeout"
"unemployment_rate","youth_unemployment_rate","positive","0.34","2","fast","General labor slack strongly transmits to youth unemployment","Eurostat youth labor evidence","high","","approved","batch1_labor_prices"
"tertiary_education_attainment","youth_unemployment_rate","negative","-0.16","3","fast","Higher attainment improves youth employability","OECD youth employment evidence","high","","approved","batch1_labor_prices"
"labor_force_participation_rate","youth_unemployment_rate","positive","0.10","3","fast","More active youth job search can raise measured youth unemployment in weak markets","Labor force accounting logic","medium","","approved","batch6_full_closeout"
"co2_emissions_per_capita","air_pollution_pm25","positive","0.16","5","medium","Fossil fuel combustion drives both carbon and particulates","EEA emissions source evidence","high","","approved","batch2_activate_dormant"
"renewable_energy_consumption","air_pollution_pm25","negative","-0.12","5","medium","Clean energy reduces combustion-related particulate exposure","IEA clean energy air-quality evidence","high","","approved","batch2_activate_dormant"
"urban_population","air_pollution_pm25","positive","0.10","5","medium","Urban concentration raises transport and heating pollution exposure","WHO urban air evidence","medium","","approved","batch6_full_closeout"
"average_annual_real_wages","fixed_broadband_subscriptions","positive","0.14","5","medium","Higher income improves household broadband adoption","ITU affordability evidence","high","","approved","batch6_full_closeout"
"urban_population","fixed_broadband_subscriptions","positive","0.10","5","medium","Urban density lowers per-user broadband rollout costs","Telecom infrastructure economics evidence","high","","approved","batch2_activate_dormant"
"public_expenditure_on_education","fixed_broadband_subscriptions","positive","0.06","5","medium","Education digitalization programs can lift broadband uptake","Digital policy evidence","medium","","approved","batch6_full_closeout"
"consumption","gdp","positive","0.50","2","fast","Higher household demand directly lifts aggregate output.","National accounts demand identity","high","","approved","legacy_import_existing_relationship"
"investment","gdp","positive","0.30","4","medium","Capital formation increases productive capacity and near-term demand.","National accounts investment channel","high","","approved","legacy_import_existing_relationship"
"netExports","gdp","positive","0.15","3","fast","Improved net exports raise GDP via external demand.","Open-economy national accounts identity","high","","approved","legacy_import_existing_relationship"
"incomeTax","consumption","negative","-0.60","2","fast","Higher income taxes reduce disposable income and household spending.","Household consumption theory","high","","approved","legacy_import_existing_relationship"
"vat","consumption","negative","-0.40","2","fast","Higher consumption taxes reduce real purchasing power and spending.","VAT pass-through and demand evidence","high","","approved","legacy_import_existing_relationship; policy_adjusted_to_comply"
"welfareSpending","consumption","positive","0.35","2","fast","Transfer spending supports consumption among high-marginal-propensity households.","Fiscal transfer multipliers","high","","approved","legacy_import_existing_relationship; policy_adjusted_to_comply"
"nominal_minimum_wage","consumption","positive","0.25","2","fast","Higher minimum wages can increase lower-income household consumption.","Minimum wage demand effects literature","medium","","approved","legacy_import_existing_relationship"
"rentBurden","consumption","negative","-0.30","2","fast","Higher rent costs crowd out other household consumption.","Household budget share evidence","high","","approved","legacy_import_existing_relationship"
"corporateTax","investment","negative","-0.40","4","medium","Higher corporate taxation lowers after-tax returns on investment.","Business investment tax elasticity literature","high","","approved","legacy_import_existing_relationship; policy_adjusted_to_comply"
"taxPolicy.wealthTax","investment","negative","-0.20","3","fast","Wealth taxation can reduce investable private capital at the margin.","Capital taxation literature","medium","","approved","legacy_import_existing_relationship"
"housingPolicy.goldenVisa","investment","positive","0.30","3","fast","Looser golden-visa channels can increase real-estate-linked investment inflows.","FDI and residency program evidence","medium","","approved","legacy_import_existing_relationship"
"taxPolicy.nhrRegime","investment","positive","0.25","4","medium","Favorable NHR treatment can attract capital and entrepreneurial investment.","Tax competitiveness evidence","medium","","approved","legacy_import_existing_relationship"
"corporateTax","netExports","negative","-0.15","4","medium","Higher corporate taxes can weaken competitiveness and export performance.","Competitiveness and tax burden literature","medium","","approved","legacy_import_existing_relationship"
"digitalInfrastructure","netExports","positive","0.10","6","medium","Digital capacity improves tradable services and export competitiveness.","Digital trade competitiveness evidence","medium","","approved","legacy_import_existing_relationship"
"public_expenditure_on_health","health","positive","0.60","3","fast","Higher health spending improves service quality and health outcomes.","WHO health systems evidence","high","","approved","legacy_import_existing_relationship; policy_adjusted_to_comply"
"public_expenditure_on_education","education","positive","0.60","3","fast","Higher education spending improves educational quality and attainment outcomes.","OECD education finance evidence","high","","approved","legacy_import_existing_relationship"
"welfareSpending","happiness","positive","0.50","2","fast","Social protection reduces insecurity and improves subjective wellbeing.","Wellbeing and social spending literature","high","","approved","legacy_import_existing_relationship"
"policeSpending","safety","positive","0.60","3","fast","Police capacity can reduce crime exposure and improve perceived safety.","Public safety resource evidence","medium","","approved","legacy_import_existing_relationship"
"justiceSpending","safety","positive","0.40","3","fast","Judicial effectiveness supports deterrence and social order.","Rule-of-law and safety evidence","medium","","approved","legacy_import_existing_relationship"
"greenEnergy","health","positive","0.30","3","fast","Cleaner energy transition lowers harmful pollution exposure and health burden.","Environmental health evidence","high","","approved","legacy_import_existing_relationship"
"carbonTax","inflation_consumer_prices","positive","0.25","2","fast","Carbon taxation raises energy and transport costs that pass into consumer prices.","Carbon tax price pass-through evidence","high","","approved","legacy_import_existing_relationship"
"housingPolicy.maisHabitacao","rentBurden","negative","-0.30","3","fast","Housing supply and rental measures reduce rent pressure over time.","Housing supply-price relationship","high","","approved","legacy_import_existing_relationship"
"housingPolicy.rentControl","rentBurden","negative","-0.42","2","fast","Rent controls can directly cap rental cost growth for households.","Rent regulation policy evidence","medium","","approved","legacy_import_existing_relationship"
"housingPolicy.goldenVisa","rentBurden","positive","0.24","3","fast","Investment-driven housing demand can raise rents in constrained markets.","Housing demand pressure evidence","medium","","approved","legacy_import_existing_relationship"
"housingPolicy.maisHabitacao","youthIndependence","positive","0.28","3","fast","Improved housing access increases young-adult residential independence.","Housing affordability and emancipation evidence","high","","approved","legacy_import_existing_relationship"
"laborPolicy.youthJobs","youthIndependence","positive","0.34","2","fast","Youth employment support increases income needed for independent living.","Youth labor market program evidence","high","","approved","legacy_import_existing_relationship"
"housingPolicy.goldenVisa","happiness","negative","-0.30","3","fast","Housing affordability pressure from demand shocks can lower wellbeing.","Cost-of-living wellbeing literature","medium","","approved","legacy_import_existing_relationship"
"housingPolicy.alTaxes","happiness","positive","0.22","3","fast","Short-term rental taxation can ease housing pressure and improve resident wellbeing.","Local housing policy evidence","medium","","approved","legacy_import_existing_relationship"
"housingPolicy.rentControl","happiness","positive","0.28","2","fast","Rent stabilization can reduce household stress and improve wellbeing.","Housing security and wellbeing evidence","medium","","approved","legacy_import_existing_relationship"
"nominal_minimum_wage","happiness","positive","0.35","2","fast","Higher minimum wages can improve financial security and life satisfaction.","Income and wellbeing literature","high","","approved","legacy_import_existing_relationship"
"laborPolicy.fourDayWeek","happiness","positive","0.30","2","fast","Reduced workweek can improve work-life balance and subjective wellbeing.","Work-time and wellbeing evidence","medium","","approved","legacy_import_existing_relationship"
"laborPolicy.fourDayWeek","unemployment_rate","negative","-0.12","3","fast","Work-sharing can distribute labor demand and reduce unemployment pressure.","Work-sharing policy literature","low","","approved","legacy_import_existing_relationship"
"laborPolicy.youthJobs","unemployment_rate","negative","-0.50","2","fast","Targeted youth hiring programs can lower overall unemployment pressure.","Active labor market policy evidence","high","","approved","legacy_import_existing_relationship"
"rentBurden","happiness","negative","-0.45","2","fast","Housing cost stress lowers household wellbeing and satisfaction.","Housing cost burden wellbeing evidence","high","","approved","legacy_import_existing_relationship"
"youthIndependence","happiness","positive","0.25","3","fast","Greater independent living among youth is associated with higher wellbeing.","Youth transition wellbeing studies","medium","","approved","legacy_import_existing_relationship"
"health","happiness","positive","0.30","3","fast","Better health status increases quality of life and happiness.","Health-wellbeing empirical evidence","high","","approved","legacy_import_existing_relationship"
"education","happiness","positive","0.20","4","medium","Higher education outcomes correlate with better life opportunities and wellbeing.","Education and wellbeing evidence","medium","","approved","legacy_import_existing_relationship"
"safety","happiness","positive","0.25","2","fast","Safer communities improve perceived quality of life and happiness.","Public safety wellbeing evidence","high","","approved","legacy_import_existing_relationship"
"unemployment_rate","gdp","negative","-0.20","2","fast","Higher unemployment reflects underused labor and lower output potential.","Okun relationship evidence","high","","approved","legacy_import_existing_relationship"
"unemployment_rate","happiness","negative","-0.50","3","fast","Joblessness reduces income security and psychological wellbeing.","Unemployment wellbeing literature","high","","approved","legacy_import_existing_relationship"
"inflation_consumer_prices","happiness","negative","-0.30","3","fast","Higher inflation erodes real incomes and reduces household wellbeing.","Cost-of-living wellbeing evidence","high","","approved","legacy_import_existing_relationship"
"public_expenditure_on_health","budget.expenditure","positive","0.35","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"public_expenditure_on_education","budget.expenditure","positive","0.27","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"welfareSpending","budget.expenditure","positive","0.21","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"transportSpending","budget.expenditure","positive","0.16","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"digitalInfrastructure","budget.expenditure","positive","0.14","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"policeSpending","budget.expenditure","positive","0.15","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"justiceSpending","budget.expenditure","positive","0.13","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"greenEnergy","budget.expenditure","positive","0.12","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.maisHabitacao","budget.expenditure","positive","0.16","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.goldenVisa","budget.expenditure","positive","0.09","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.alTaxes","budget.expenditure","positive","0.08","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"housingPolicy.rentControl","budget.expenditure","positive","0.11","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"nominal_minimum_wage","budget.expenditure","positive","0.14","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"laborPolicy.fourDayWeek","budget.expenditure","positive","0.13","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"laborPolicy.youthJobs","budget.expenditure","positive","0.14","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
"taxPolicy.nhrRegime","budget.expenditure","positive","0.08","2","fast","Policy fiscal coefficients increase annual government expenditure.","Policy fiscal coefficients from policies.csv","high","","approved","budget_accounting_required_edge_auto"
